[2011-09-14 03:51:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 03:52:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 04:21:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 04:22:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 04:51:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 04:52:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 05:21:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 05:22:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 05:51:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 05:52:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 06:21:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 06:22:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 06:51:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 06:52:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 07:21:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 07:22:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 07:51:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 07:52:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 08:21:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 08:22:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 08:51:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 08:52:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 09:21:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 09:22:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 09:51:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 09:52:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 10:21:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 10:22:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 10:51:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 10:52:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 11:21:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 11:22:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 11:51:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 11:52:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 12:21:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 12:22:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 12:51:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 12:52:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 13:21:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 13:22:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 13:51:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 13:52:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 14:21:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 14:22:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 14:51:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 14:52:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 15:21:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 15:22:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-14 15:51:24] irc: connecting to server irc.irchighway.net/6667...
[2011-09-14 15:52:19] irc: connecting to server irc.rizon.net/6667...
[2011-09-16 07:38:32] Writing configuration file plugins.conf 
[2011-09-16 07:38:32] Writing configuration file charset.conf 
[2011-09-16 07:38:32] Writing configuration file aspell.conf 
[2011-09-16 07:38:33] Writing configuration file alias.conf 
[2011-09-16 07:38:33] Writing configuration file relay.conf 
[2011-09-16 07:38:33] Writing configuration file irc.conf 
[2011-09-16 07:38:33] Writing configuration file logger.conf 
[2011-09-16 07:38:34] Writing configuration file rmodifier.conf 
[2011-09-16 07:38:34] Writing configuration file xfer.conf 
[2011-09-16 07:38:34] Writing configuration file weechat.conf 
